Sl. No.,Category,State/UT,Population Density,Birth Rate,Death Rate,Infant Mortality Rate,Elementary School Gross Enrolment Ratio (%) - Boys,Elementary School Gross Enrolment Ratio (%) - Girls,Elementary School Gross Enrolment Ratio (%) - Overall,Secondary School Gross Enrolment Ratio (%) - Boys,Secondary School Gross Enrolment Ratio (%) - Girls,Secondary School Gross Enrolment Ratio (%) - Overall,Senior Secondary School Gross Enrolment Ratio (%) - Boys,Senior Secondary School Gross Enrolment Ratio (%) - Girls,Senior Secondary School Gross Enrolment Ratio (%) - Overall,Higher Education Gross Enrolment Ratio (%) - Boys,Higher Education Gross Enrolment Ratio (%) - Girls,Higher Education Gross Enrolment Ratio (%) - Overall,Total Fertility Rate (Children per women)
1,State,Andhra Pradesh,303,15.7,6.3,24,101.1,99.1,100.1,86.3,84.5,85.4,55.2,58.3,56.7,38.3,36,37.2,1.7
2,State,Arunachal Pradesh,17,17.3,5.7,21,108.3,111.5,109.9,65,68.1,66.5,51.4,56.1,53.7,34.7,32.8,33.7,1.8
3,State,Assam,397,20.8,6.2,36,106.2,113.8,109.8,67.9,81.3,74.5,38,42.2,40.1,16.8,18.4,17.5,1.9
4,State,Bihar,1102,25.5,5.4,27,95.1,97.4,96.2,63.1,66.8,64.9,35.6,36.2,35.9,16.6,15.1,15.9,3
5,State,Chhattisgarh,189,22,7.9,38,95.7,96,95.9,75.3,81.4,78.3,62.9,73.6,68.1,18,21.3,19.6,1.8
6,State,Goa,394,12.1,5.9,5,89.4,93,91.1,80.6,85.7,83,71.2,76.3,73.7,30.8,37.3,33.8,1.3
7,State,Gujarat,308,19.3,5.6,23,90.7,94.3,92.4,77.2,72.8,75.2,48.6,47.8,48.2,23.6,20.6,22.2,1.9
8,State,Haryana,573,19.9,6.1,28,103,103.4,103.2,96,93.2,94.7,75.1,76,75.5,28.9,33.7,31.1,1.9
9,State,Himachal Pradesh,123,15.3,6.8,17,105.3,107.1,106,93.5,94.8,94.1,93,95.3,94.1,33.5,44.7,38.7,1.7
10,Union Territory,Jammu & Kashmir,98,14.6,4.6,17,88.5,92,90.1,59.9,61.3,60.5,53.4,52.9,53.2,23,27.2,25,1.4
11,State,Jharkhand,414,22,5.2,25,96.4,97.7,97,66.4,70.5,68.4,44.9,48,46.4,16.5,17.5,17,2.3
12,State,Karnataka,319,16.5,6.2,19,107.2,107,107.1,94.6,94.9,94.7,54.6,58.8,56.6,34.8,37.2,36,1.7
13,State,Kerala,859,13.2,7,6,101.3,100.7,101,98.3,97.4,97.9,81.8,88.4,85,34.5,52.3,43.2,1.8
14,Union Territory,Ladakh,2.8,14.3,5,16,70.3,78.8,74.3,54.6,63.2,58.8,44.4,54.8,49.4,5.4,11.9,8.4,1.3
