FIPS_Code,County,State,Adult Obesity Percentage,Infant Mortality Rate,Life Expectancy (2021),Life Expectancy (2020),Incarceration Rate,Incarceration_Rate_1k,HIV_Prevalence,Motor Vehicle Death Rate,Secondary Educational Attainment,GINI Index (Income Inequality),Population Density,Domestic In-Migrants 2010s,Domestic In-Migrants 2010s (norm),Domestic Net Migrants 2010s,Domestic Net Migrants 2010s (norm)
1001,Autauga County,AL,37.5,7.699275362,77.16,76.33058901,395.71,3.96,0.2,17.9,88.5,0.4542,93.16,21621,390.3059843,1396,25.2008304
1003,Baldwin County,AL,31,5.851337449,78.21,78.59949766,444.84,4.45,0.2,20.61,90.8,0.4587,133.87,55539,277.5409648,19706,98.47534618
1005,Barbour County,AL,44.3,NA,74.05474119,75.77945737,631.32,6.31,0.5,40.51,73.2,0.4883,28.66,3336,124.0748317,-539,-20.0468628
1007,Bibb County,AL,37.8,14.79289941,73.40878366,73.92827108,261.5,2.62,0.2,NA,79.1,0.4487,36.14,6101,271.0832667,193,8.57549098
1009,Blount County,AL,34.4,6.184687567,74.37087378,74.59776688,199.92,2,0.1,20.75,80.5,0.457,89.45,17683,306.3635891,1832,31.73998164
1011,Bullock County,AL,39.4,NA,74.44035871,73.11753012,480.77,4.81,0.6,NA,74.7,0.4731,16.45,398,36.97510219,-3,-0.2787068
1013,Butler County,AL,40.2,NA,74.15384618,73.50538502,807.89,8.08,0.4,NA,85,0.4619,25.52,1790,88.19471817,-173,-8.523847063
1015,Calhoun County,AL,37.1,7.831777706,73.45688939,73.1029477,693.29,6.93,0.3,23.77,84.4,0.4633,189.18,19858,171.3137099,-3333,-28.75358018
1017,Chambers County,AL,40.3,8.064516129,75.02210961,74.12227764,596.94,5.97,0.4,NA,81.6,0.423,56.42,11049,324.2458035,521,15.28935321
1019,Cherokee County,AL,36.3,NA,74.47838936,74.34657229,481.76,4.82,0.1,NA,81.6,0.4515,46.8,5540,212.7741291,761,29.22763759
1021,Chilton County,AL,35.3,6.79383329,74.90765973,74.19263044,423.18,4.23,0.1,24.76,81.8,0.4719,63.59,11016,250.7568687,1534,34.91839476
1023,Choctaw County,AL,41.3,NA,74.70887649,74.28412612,513.87,5.14,0.2,NA,81.4,0.469,14.15,60,4.503490205,-50,-3.752908504
1025,Clarke County,AL,39.6,NA,74.56334131,75.89374365,651.74,6.52,0.2,46.57,80.6,0.5158,19.48,2535,101.6235719,-943,-37.80316697
1027,Clay County,AL,37.7,NA,74.89959218,75.39303201,670.99,6.71,0.2,NA,76.7,0.4615,22.08,838,61.83589138,-213,-15.71723731
1029,Cleburne County,AL,34.5,NA,74.41729032,73.62978506,522.89,5.23,0.1,NA,79,0.457,26.63,1287,85.34482759,143,9.482758621
1031,Coffee County,AL,33.4,6.885828521,76.44413986,77.20313581,404.3,4.04,0.2,19.11,85.9,0.4327,76.09,18070,354.9470624,706,13.86788191
1033,Colbert County,AL,32.5,9.327911983,74.62560827,74.85102703,502.12,5.02,0.1,NA,85.2,0.4467,92.4,13960,255.9448509,331,6.068606421
1035,Conecuh County,AL,38.7,NA,73.08896157,75.03381156,339.12,3.39,0.3,NA,84.3,0.4296,14.58,588,46.40883978,-101,-7.971586425
